,Unnamed: 0,Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense,HotScore
3210,3210,10168686,1,10169025.0,,2012-04-16 04:23:16,,1695,195602,one interesting project worked past couple year wa project image processing goal wa develop system able recognize coca cola note stressing word see minute see sample recognized green rectangle scale rotation constraint project background could noisy could scale rotation even orientation within reasonable limit image could degree fuzziness contour might entirely straight could coca cola bottle image algorithm detect brightness image could vary lot rely much color detection could partly hidden side middle possibly partly hidden behind bottle could image case find nothing write message saying could end tricky thing like case algorithm totally fail project ago lot fun decent implementation detail implementation language done c using opencv library pre processing image pre processing e transforming image raw form give algorithm used method changing color domain rgb hsv filtering based red hue saturation certain threshold avoid orange like color filtering low value avoid dark tone end result wa binary black white image white pixel would represent pixel match threshold obviously still lot crap image reduces number dimension work noise filtering using median filtering taking median pixel value neighbor replace pixel value reduce noise using canny edge detection filter get contour item precedent step algorithm algorithm chose task wa taken awesome book feature extraction called generalized hough transform pretty different regular hough transform basically say thing describe object space without knowing analytical equation case resistant image deformation scaling rotation basically test image every combination scale factor rotation factor us base model template algorithm learn pixel remaining contour image vote another pixel supposedly center term gravity object based learned model end end heat map vote example pixel contour vote gravitational center lot vote pixel corresponding center see peak heat map simple threshold based heuristic give location center pixel derive scale rotation plot little rectangle around final scale rotation factor obviously relative original template theory least result approach worked basic case wa severely lacking area extremely slow stressing enough almost full day wa needed process test image obviously high scaling factor rotation translation since small wa completely lost bottle image reason almost always found bottle instead perhaps bottle bigger thus pixel thus vote fuzzy image also good since vote ended pixel random location around center thus ending noisy heat map variance translation rotation wa achieved orientation meaning wa directly facing camera objective recognized help improve specific algorithm using exclusively opencv feature resolve four specific issue mentioned hope people also learn something well think people ask question learn,2016-03-16 17:39:27,2020-09-25 17:07:16,image processing algorithm improvement coca cola recognition,c++ algorithm image-processing opencv,23,28,1104.0,,,CC BY-SA 3.0,0.0010703306208607046
24518,24518,23119413,1,,,2014-04-16 20:23:19,,240,653534,trying install opencv python anaconda seem figure tried conda install opencv conda install cv also tried searching conda search cv cigar ran across list included package http doc continuum io anaconda pkgs html running conda info noticed version seem find information version online pretty confused missing something pretty obvious wa available previous version anaconda available newer version doe link show documentation version,2017-11-19 17:44:13,2020-08-07 15:06:25,install python opencv conda,python opencv anaconda conda,41,12,91.0,,,CC BY-SA 3.0,0.0003936527280404776
13017,13017,19876079,1,,,2013-11-09 12:44:32,,286,989776,installed opencv occidentalis operating system variant raspbian raspberry pi using jayrambhia script found installed version try import cv python program get following message pi raspberrypi python cam py traceback recent call last file cam py line import cv importerror module named cv file cv stored usr local lib python site package also folder usr local lib called python python could problem sure path error perhaps help appreciated new linux,2019-03-28 09:01:15,2020-08-05 11:58:31,find module cv using opencv,python opencv raspberry-pi,17,3,58.0,,,CC BY-SA 4.0,0.00017913773685357873
20875,20875,20518632,1,,,2013-12-11 12:03:02,,138,279090,trying run program import cv import time cv namedwindow camera capture cv capturefromcam true img cv queryframe capture cv showimage camera img cv waitkey break cv destroyallwindows problem numpy using pyschopy along opencv problem keep getting error report runtimeerror module compiled api version version numpy traceback recent call last file c user john document eyetracking program getimage py line import cv importerror numpy core multiarray failed import numpy py psychopy folder confused wrong edit deleted answer following command pip install u numpy help solving problem could load numpy core multiarray,2020-08-11 13:47:32,2020-09-25 10:11:27,importerror numpy core multiarray failed import,python python-2.7 numpy opencv,26,4,26.0,,,CC BY-SA 4.0,0.0001395089055071789
23885,23885,20772893,1,20850922.0,,2013-12-25 12:40:55,,381,23357,image processing technique could used implement application detects christmas tree displayed following image searching solution going work image therefore approach require training haar cascade classifier template matching interesting looking something written programming language long us open source technology solution must tested image shared question input image answer display result processing finally output image must red line draw surround detected tree would go programmatically detecting tree image,2019-12-31 05:12:30,2019-12-31 05:12:30,detect christmas tree,c++ python opencv image-processing computer-vision,10,22,229.0,2019-01-02 21:45:46,,CC BY-SA 4.0,0.0001273539864151259
31502,31502,30508922,1,,,2015-05-28 14:05:32,,84,183714,trying learn cv python run code specific part face cascade cv cascadeclassifier haarcascade frontalface default xml eye cascade cv cascadeclassifier haarcascade eye xml img cv imread jpg gray cv cvtcolor img cv color bgr gray face face cascade detectmultiscale gray x w h face img cv rectangle img x x w h return file face detection py line face face cascade detectmultiscale gray cv error home arthurckl desktop opencv rc module objdetect src cascadedetect cpp error empty function detectmultiscale tried search answer best could find must loading face cascade wrong way help,2020-08-11 17:23:40,2020-08-18 12:19:49,error empty function detectmultiscale,python python-2.7 opencv image-recognition,22,8,13.0,,,CC BY-SA 3.0,0.00010214497181473839
16823,16823,19019720,1,19042026.0,,2013-09-26 04:59:00,,114,406120,situation much like one importerror dll load failed valid win application answer working python code say import cv line throw error shown title question opencv installed c lib opencv bit machine using bit python pythonpath variable pythonpath c lib opencv build python folder contains cv pyd path variable path opencv dir bin folder contains dll file opencv core dll opencv dir ha value opencv dir c lib opencv build x vc solution importerror dll load failed valid win application say add new opencv binary path c opencv build bin release window path environment variable shown already opencv binary folder c lib opencv build x vc bin path opencv installation release folder except empty one build java idea going wrong tell python verbosely trace loading process exactly dll looking thanks lars edit noticed according http www dependencywalker com cv pyd c lib opencv build python bit whereas machine python running bit could problem find bit version cv pyd,2017-05-23 11:55:03,2020-09-15 03:46:27,importerror dll load failed valid win application dll,python opencv dll path,21,7,29.0,,,CC BY-SA 3.0,8.99269318333622e-05
43817,43817,37776228,1,,,2016-06-12 15:54:16,,76,139875,trying install opencv cv pycharm terminal suggested using pip install user opencv pip install user cv getting following error collecting opencv could find version satisfies requirement opencv version matching distribution found opencv collecting cv could find version satisfies requirement cv version matching distribution found cv fix install package properly using python,,2020-06-16 04:24:45,pycharm python opencv cv install error,python opencv pycharm,16,4,11.0,,,CC BY-SA 3.0,8.893803279279832e-05
36883,36883,33311153,1,,,2015-10-23 20:48:20,,139,302224,followed tutorial seem anything simply nothing wait second close program wrong code import cv vidcap cv videocapture compton mp success image vidcap read count success true success success image vidcap read cv imwrite frame jpg count image save frame jpeg file cv waitkey exit escape hit break count also comment say limit frame edit tried success true first help created one image wa byte,2019-01-25 17:14:02,2020-07-22 11:43:57,python extracting saving video frame,python python-2.7 opencv,10,9,62.0,,,CC BY-SA 4.0,8.598078721637131e-05
31732,31732,30506126,1,32598876.0,,2015-05-28 12:06:00,,91,247549,currently ubuntu using python cv run code import numpy np import cv img cv imread jpg gray cv cvtcolor img cv color bgr gray return file face detection py line gray cv cvtcolor img cv color bgr gray cv error home arthurckl desktop opencv rc module imgproc src color cpp error scn scn function cvtcolor already searched one answer said could loading photo wrong way dimension row column depth print img shape return two number must wrong know right way load photo,2015-05-28 12:25:32,2020-10-05 12:28:22,open cv error scn scn function cvtcolor,python opencv photo,16,2,15.0,,,CC BY-SA 3.0,8.475255050044662e-05
33334,33334,31326015,1,31349250.0,,2015-07-09 18:58:39,,155,360272,searched many place get install verify installed verify nvidia driver installed cuda installed know verify cudnn installed help much appreciated thanks p caffe implementation currently everything working without cudnn enabled,2018-05-11 18:27:35,2020-08-24 20:19:10,verify cudnn installation,cuda computer-vision caffe conv-neural-network cudnn,9,2,67.0,,,CC BY-SA 3.0,8.166182222116599e-05
2068,2068,12995434,1,12995815.0,,2012-10-21 06:03:44,,277,53440,best way represent solve maze given image given jpeg image seen best way read parse data structure solve maze first instinct read image pixel pixel store list array boolean value white pixel non white pixel colour discarded issue method image may pixel perfect simply mean white pixel somewhere wall may create unintended path another method came bit thought convert image svg file list path drawn canvas way path could read sort list boolean value indicates path wall indicating travel able space issue method arises conversion accurate doe fully connect wall creating gap also issue converting svg line perfectly straight result path cubic bezier curve list array boolean value indexed integer curve would transfer easily point line curve would calculated exactly match list index assume one method may work though probably woefully inefficient given large image exists better way best efficiently least complexity done even best way come solving maze use either first two method essentially end matrix according answer good way represent maze using tree good way solve using algorithm would one create tree image idea tl dr best way parse data structure would said structure help hinder solving update tried hand implementing mikhail ha written python using thomas recommended feel algorithm correct working hoped code png library pypng import png numpy queue operator itertools def white coord image return whether x approx white pixel true xrange break image coord coord return def bfs e visited perform breadth first search frontier queue queue e np tuple map operator add white np np visited frontier put np visited append frontier get return visited def main r png reader filename thescope png row col pixel meta r asdirect assert meta plane ensure file rgb image numpy vstack itertools imap numpy uint pixel start end print bfs start end image,2017-05-23 11:55:07,2020-05-23 16:47:42,representing solving maze given image,python algorithm matlab image-processing maze,10,7,162.0,,,CC BY-SA 3.0,8.085992993821741e-05
22740,22740,25215102,1,,,2014-08-09 04:01:42,,87,220812,ubuntu system want install opencv use python x installed opencv using instruction http help ubuntu com community opencv install seemed run properly error script ended output opencv ready used try run sample python script get following python opencv py traceback recent call last file opencv py line cv cv import importerror module named cv cv suspect know know fix opencv installed current directory wa ran install script subdirectory home folder others get import error install seem path issue luck adding code import sys sys path append usr local lib python site package updating pythonpath directory tried adding code make difference see file site package directory done install directory imagine installation instruction would spelled suspect problem ha python finding opencv install sure proceed please help get usable install opencv simply possible,,2020-07-16 13:31:49,installing opencv python ubuntu getting importerror module named cv cv,python opencv ubuntu importerror,20,4,19.0,,,CC BY-SA 3.0,7.734093904930427e-05
22230,22230,21810452,1,,,2014-02-16 11:24:54,,117,189072,using opencv python following simple code created window correct name content blank show image import cv img cv imread c python hd jpg cv imshow imagewindow img doe anyone know issue,,2020-08-21 09:10:09,cv imshow command work properly opencv python,python opencv image-processing,15,2,14.0,,,CC BY-SA 3.0,7.15582556218853e-05
9883,9883,15589517,1,15589825.0,,2013-03-23 17:00:43,,253,591788,crop image like done pil using opencv working example pil im image open png convert l im im crop im save png opencv tried im cv imread png cv cv load image grayscale thresh im bw cv threshold im cv thresh otsu im cv getrectsubpix im bw cv imshow img im cv waitkey work think incorrectly used case please explain correctly use function,2014-02-16 05:13:57,2020-07-05 22:23:56,crop image opencv using python,python opencv,8,0,71.0,,,CC BY-SA 3.0,6.668763978193406e-05
15302,15302,23506105,1,23565051.0,,2014-05-06 23:16:24,,151,113535,trying find bounding box text image currently using approach calculate local variance grayscale image mat mean mean mat grayf outimg gray convertto grayf cv f int winsize blur grayf mean cv size winsize winsize blur grayf mul grayf mean cv size winsize winsize mat varmat mean mean mul mean varmat convertto varmat cv u threshold high variance region mat varmatregions varmat given image like show get image see somewhat combine left block text header card card method work great busier card cause problem reason bad contour connect make bounding box contour nearly take entire card anyone suggest different way find text ensure proper detection text point whoever find text card two,2014-05-14 15:50:39,2020-09-29 05:04:35,extracting text opencv,c++ opencv image-processing text bounding-box,10,3,179.0,,,CC BY-SA 3.0,6.663739965939428e-05
31808,31808,27406303,1,27421494.0,,2014-12-10 16:40:55,,146,197709,want use opencv library app android studio followed instruction found get error configuration name default found wrong use android studio gradle,2017-02-23 06:44:38,2020-09-01 14:57:27,opencv android studio,android opencv android-studio gradle,8,6,132.0,,,CC BY-SA 3.0,5.9692089742935567e-05
47514,47514,40207011,1,41301866.0,,2016-10-23 19:35:10,,52,71936,exact error getting ubuntu opencv error unspecified error function implemented rebuild library window gtk x carbon support ubuntu debian install libgtk dev pkg config run cmake configure script cvshowimage file feedstock root build artefact work opencv module highgui src window cpp line traceback recent call last file untitled py line cv imshow image img cv error feedstock root build artefact work opencv module highgui src window cpp error function implemented rebuild library window gtk x carbon support ubuntu debian install libgtk dev pkg config run cmake configure script function cvshowimage code import numpy np import cv load color image grayscale img cv imread png cv imshow image img cv waitkey cv destroyallwindows png image directory program first installed anaconda python installed opencv using command conda install c conda forge opencv installed libgtk dev error said still get error help would much appreciated trying solve several hour,,2020-04-20 14:03:18,opencv working properly python linux anaconda getting error cv imshow implemented,python opencv ubuntu anaconda,14,0,18.0,,,CC BY-SA 3.0,5.957507259101106e-05
6689,6689,9480013,1,10034214.0,,2012-02-28 10:12:06,,151,156584,using tesseract convert document text quality document range wildly looking tip sort image processing might improve result noticed text highly pixellated example generated fax machine especially difficult tesseract process presumably jagged edge character confound shape recognition algorithm sort image processing technique would improve accuracy using gaussian blur smooth pixellated image seen small improvement hoping specific technique would yield better result say filter wa tuned black white image would smooth irregular edge followed filter would increase contrast make character distinct general tip someone novice image processing,2016-12-20 15:09:19,2020-10-14 15:02:19,image processing improve tesseract ocr accuracy,image-processing ocr tesseract,13,0,121.0,,,CC BY-SA 3.0,5.5821511403976234e-05
22392,22392,18561910,1,18590112.0,,2013-09-01 19:09:53,,67,127373,trying simple thing like detector cv sift get bad error detector cv sift attributeerror module object ha attribute sift understand cv installed cv version rev system ubuntu maybe someone ha got problem could help edit long story short testypypypy py import cv detector cv sift error traceback recent call last file testypypy py line detector cv sift attributeerror module object ha attribute sift take work dir cv also take cv bfmatcher get error missing add know,2018-05-15 17:32:38,2020-09-21 12:12:38,use surf sift opencv,python opencv sift surf,20,5,25.0,,,CC BY-SA 4.0,5.121453473285386e-05
15488,15488,18907131,1,18922329.0,,2013-09-20 00:32:13,,89,100245,ie longer support browser detection tag identify browser detecting ie using javascript capability testing technique detect certain prefixed style defined want ie assuming ie style supported ie well anyone help identify ie style capability could use tell two apart extra info want use user agent type detection spotty changed well think read ie intentionally trying hide fact internet explorer example ie capability testing work used jsfiddle mine basis testing also expecting lot answer bad idea one need ie claim support something badly implemented want able differentiate ie ie move capability based detection method future test coupled modernizr test simply make functionality fallback le glamorous behavior talking critical functionality also already using modernizr help need help solution clearly asked question please,2016-10-05 19:40:37,2019-09-05 16:18:13,detecting ie using cs capability feature detection,internet-explorer-11 sample feature-detection,18,8,61.0,,,CC BY-SA 3.0,4.980153335565575e-05
37304,37304,33859531,1,,,2015-11-22 20:03:46,,76,137729,code import numpy np import cv console runfile user isaiahnields spyder temp py wdir user isaiahnields spyder runtimeerror module compiled api version version numpy traceback recent call last file line file application spyder py app content resource lib python spyderlib widget externalshell sitecustomize py line runfile execfile filename namespace file application spyder py app content resource lib python spyderlib widget externalshell sitecustomize py line execfile builtins execfile filename file user isaiahnields spyder temp py line import cv file application spyder py app content resource lib python cv py line cv cv import importerror numpy core multiarray failed import system info x el capitan macbook air ghz intel core gb hmz ddr already attempted updating numpy add cv py python folder spyder py something else need add,2015-11-22 21:13:13,2019-01-14 05:52:00,runtimeerror module compiled api version version numpy,python python-2.7 opencv numpy,15,0,9.0,,,CC BY-SA 3.0,4.95489060189317e-05
41430,41430,36274638,1,43168882.0,,2016-03-29 03:03:12,,93,58515,computer vision object detection common evaluation method map calculated,2020-06-13 14:23:54,2020-08-19 04:38:33,map metric calculated,machine-learning computer-vision detection metrics vision,6,0,48.0,,,CC BY-SA 4.0,4.3618741671370195e-05
10198,10198,14649645,1,,,2013-02-01 15:31:12,,96,328487,wanting write php code automatically resizes image uploaded via form x px idea go relative php novice far got image uploading successfully filetypes recognised name cleaned like add resize functionality code example got test image mb x dimension like code size guessing dramatically compress filesize image far got following file put file property variable file name file profile image name file size file profile image size file tmp name file profile image tmp name determine filetype switch file profile image type case image jpeg ext jpg break case image png ext png break default ext break ext check filesize file size process file clean filename move safe location n file name n ereg replace za z n n strtolower n n avatar n move uploaded file file tmp name n else bad message please ensure chosen file le mb else bad message please ensure image filetype jpg png query insert user image value n mysql query query die insert failed mysql error query,2017-10-10 08:43:44,2020-07-26 02:33:41,resize image php,php image-processing image-resizing image-upload,13,2,42.0,,,CC BY-SA 3.0,4.168987858511327e-05
29343,29343,29317262,1,29317298.0,,2015-03-28 12:40:37,,51,104405,trying save video working followed instruction opencv documentation import numpy np import cv cap cv videocapture fourcc cv videowriter fourcc xvid cv videowriter output avi fourcc cap isopened ret frame cap read ret true frame cv flip frame write frame cv imshow frame frame cv waitkey xff ord q break else break cap release release cv destroyallwindows wrong,2015-03-28 14:16:13,2020-08-19 21:58:40,opencv video saving python,python opencv,14,1,12.0,,,CC BY-SA 3.0,4.078406195991994e-05
43063,43063,37131278,1,40776982.0,,2016-05-10 06:54:56,,50,70515,make blur effect react native like background image want switch effect blur none none mean blur effect,2016-05-10 07:56:21,2020-07-31 01:10:59,make blur effect react native,image image-processing react-native blur,10,0,10.0,,,CC BY-SA 3.0,4.066208678492363e-05
26065,26065,27953069,1,,,2015-01-14 21:48:49,,43,148464,trying make face tracker combine haar cascade classification lucas kanade good feature detection however keep getting error figure mean solve anyone help error line cv imshow frame img error build buildd opencv dfsg module highgui src window cpp error size width size height function imshow code matplotlib import pyplot plt import numpy np import cv face classifier cv cascadeclassifier haarcascades haarcascade frontalface default xml cap cv videocapture params shitomasi corner detection feature params dict maxcorners qualitylevel mindistance blocksize parameter lucas kanade optical flow lk params dict winsize maxlevel criterion cv term criterion eps cv term criterion count create random color color np random randint take first frame find corner ret old frame cap read cv imshow old frame old frame cv waitkey old gray cv cvtcolor old frame cv color bgr gray restart true restart true face face classifier detectmultiscale old gray len face print empty x w h face focused face old frame h x x w cv imshow old frame old frame face gray cv cvtcolor old frame cv color bgr gray gray cv cvtcolor focused face cv color bgr gray corner cv goodfeaturestotrack gray mask none feature params corner np int corner print corner corner ix iy ravel cv circle focused face ix iy cv circle old frame x ix iy plt imshow old frame plt show create mask image drawing purpose mask np zero like old frame ret frame cap read frame gray cv cvtcolor frame cv color bgr gray calculate optical flow p st err cv calcopticalflowpyrlk old gray frame gray corner none lk params select good point good new p st good old corner st draw track print coloring time new old enumerate zip good new good old print print color b new ravel c old ravel mask cv line mask b c color tolist frame cv circle frame b color tolist break img cv add frame mask cv imshow frame img k cv waitkey xff k break update previous frame previous point old gray frame gray copy p good new reshape cv destroyallwindows cap release,2015-01-14 22:26:18,2020-07-26 01:11:38,opencv error size width size height function imshow,python image opencv computer-vision opencv3.0,16,6,4.0,,,CC BY-SA 3.0,3.7023978158068535e-05
40008,40008,35372700,1,35372748.0,,2016-02-12 21:45:00,,58,82310,trying understand xff doe hood following code snippet cv waitkey xff ord q break idea,,2020-08-02 17:24:16,xff cv waitkey,python opencv hex,8,4,18.0,,,CC BY-SA 3.0,3.5620192683074026e-05
3536,3536,10196198,1,10226971.0,,2012-04-17 17:39:18,,201,35100,wa fun project solving sudoku input image using opencv google goggles etc completed task end found little problem came programming using python api opencv read image find contour select one maximum area also somewhat equivalent square find corner point e g given notice green line correctly coincides true boundary sudoku sudoku correctly warped check next image warp image perfect square eg image perform ocr used method given simple digit recognition ocr opencv python method worked well problem check image performing step image give result red line drawn original contour true outline sudoku boundary green line drawn approximated contour outline warped image course difference green line red line top edge sudoku warping getting original boundary sudoku question warp image correct boundary sudoku e red line remove difference red line green line method opencv,2017-05-23 10:31:10,2020-04-28 13:11:57,remove convexity defect sudoku square,python opencv computer-vision sudoku,6,4,171.0,,,CC BY-SA 3.0,3.312887116664604e-05
10336,10336,12740659,1,12751657.0,,2012-10-05 06:25:00,,177,220584,trying write script download image using node j far var maxlength mb var download function uri callback http request uri response function header content length maxlength callback new error image large else indexof statuscode callback new error received invalid status code else header content type match image callback new error image else var body setencoding binary error function err callback err data function chunk body chunk end function window var path tmp math random tostring split pop f writefile path body binary function err callback err path error function err callback err end however want make robust library better chance response header lie length content type status code care bother redirects think read somewhere encoding going deprecated get work window way make script better feature similar imgur user give url download image rehost image multiple size,2012-10-05 06:56:09,2019-06-08 18:53:04,downloading image node j,image node.js image-processing download,7,0,90.0,2018-09-21 19:14:11,,CC BY-SA 3.0,3.2093432033493215e-05
